UAV_data,UAV_POM_O3,UAV_CO,UAV_NO2,UAV_PM2_5,UAV_PM10,UAV_O3,ground_POM_O3,ground_CO,ground_nNO2,ground_PM2_5,ground_PM10,ground_O3,CO,PM?.?,PM??,O?,NO?
07/18/2023 13:26:00,8.785185185,0.676871963,37.88994122,7.592592593,7.814814815,-17.64115233,,,,,,,0.346,5.749,8.983,57.516,113.793
07/18/2023 13:27:00,11.13,0.665740667,30.5592126,7.066666667,7.866666667,-23.81244217,,,,,,,0.35,6.314,8.898,52.186,112.052
07/18/2023 13:28:00,12.625,0.65981925,24.21229925,8.25,9.25,-24.21229925,,,,,,,0.345,6.233,8.75,48.765,100.802
07/18/2023 13:37:00,14.12,0.512628867,0.266413633,6.766666667,6.766666667,26.21929313,,,,,,,0.379,5.512,7.059,50.443,101.297
07/18/2023 15:08:00,11.76,0.6358918,4.4193324,9,9,77.1304832,,,,,,,0.369,9.259,11.185,100.008,54.113
07/18/2023 15:09:00,10.55666667,0.636496033,9.559548333,11.76666667,12.16666667,74.1483639,,,,,,,0.359,8.676,11.174,95.49,45.764
07/18/2023 15:10:00,8.88,0.635770967,13.9632095,11,11.83333333,75.8702037,,,,,,,0.376,8.814,11.18,93.172,51.641
07/18/2023 15:11:00,6.623333333,0.627432533,7.130482767,11.1,11.9,64.26103163,,,,,,,0.381,9.11,11.228,97.413,69.602
07/18/2023 15:12:00,14.10666667,0.6636863,3.635762733,13.2,13.2,69.81575083,,,,,,,0.385,8.361,11.334,93.011,44.138
07/18/2023 15:13:00,11.27666667,0.633112167,3.134278233,10.96666667,12.3,79.90876743,,,,,,,0.369,8.38,11.478,93.53,55.704
07/18/2023 15:14:00,9.746666667,0.637221,5.202901967,10.46666667,10.46666667,77.39326547,,,,,,,0.378,8.247,11.603,95.854,55.447
07/18/2023 15:15:00,13.10333333,0.647251367,2.883536033,12.53333333,12.96666667,79.2003565,,,,,,,0.376,8.639,11.704,96.407,48.006
07/18/2023 15:16:00,11.69333333,0.641088033,3.996204733,10.76666667,11.5,82.16408757,,,,,,,0.368,8.647,11.782,95.727,54.19
07/18/2023 15:17:00,10.40666667,0.638429433,2.2253374,11.1,11.1,83.17199227,,,,,,,0.362,8.647,11.845,96.019,41.997
07/18/2023 15:18:00,9.916666667,0.6339583,3.651434067,11.33333333,11.33333333,85.0920326,,,,,,,0.369,8.647,11.942,98.887,42.736
07/18/2023 15:19:00,11.10333333,0.6341998,6.7073552,10.76666667,11.83333333,85.4476451,,,,,,,0.369,9.054,12.083,102.318,39.721
07/18/2023 15:20:00,13.05333333,0.6361335,3.4320346,11.5,12.06666667,87.22973833,,,,,,,0.376,9.341,12.235,103.271,40.218
07/18/2023 15:21:00,12.87666667,0.640604667,5.0305166,9.766666667,10.2,89.7185567,,,,,,,0.384,9.393,12.255,105.498,34.426
07/18/2023 15:22:00,13.83333333,0.640967367,3.040249867,12.73333333,13.06666667,90.56438023,,,,,,,0.381,9.501,12.255,105.07,40.606
07/18/2023 15:23:00,13.73666667,0.6371003,3.181292367,10.83333333,11.4,93.09370587,,,,,,,0.378,9.369,12.255,105.296,42.298
07/18/2023 15:24:00,12.59666667,0.640242233,8.321508633,12.2,12.73333333,94.26428273,,,,,,,0.381,9.525,12.255,106.452,41.498
07/18/2023 15:25:00,11.15333333,0.641208933,9.622234067,12.36666667,12.6,90.2495889,,,,,,,0.376,9.942,12.255,106.439,36.06
07/18/2023 15:26:00,14.88333333,0.648943033,6.440941567,10.13333333,10.63333333,96.83151457,,,,,,,0.381,9.938,12.255,101.901,35.866
07/18/2023 15:27:00,11.39,0.652326633,8.352851433,11.83333333,12.1,98.3638371,,,,,,,0.388,10.453,12.255,97.625,46.181
07/18/2023 15:28:00,11.19,0.6546228,9.9043191,10.5,12.2,98.6652784,,,,,,,0.379,10.012,12.255,99.846,51.793
07/18/2023 15:29:00,9.633333333,0.6525684,14.40200823,11.93333333,12.26666667,97.06684793,,,,,,,0.377,9.403,12.255,99.27,44.497
07/18/2023 15:30:00,12.59,0.653414333,16.0004903,12.76666667,13.46666667,97.4520694,,,,,,,0.375,10.889,12.255,100.944,42.881
07/18/2023 15:31:00,12.23666667,0.6601818,14.4490224,12.4,12.83333333,101.0744357,,,,,,,0.367,10.519,12.255,100.381,39.987
07/18/2023 15:32:00,14.01,0.662840333,16.37660343,13.23333333,13.76666667,100.018811,,,,,,,0.356,10.471,12.255,93.938,50.375
07/18/2023 15:33:00,13.62333333,0.667432567,16.01616157,11.9,12.33333333,101.8288821,,,,,,,0.364,10.935,12.255,100.875,40.679
07/18/2023 15:34:00,12.27142857,0.685844214,12.57629121,11.75,12.17857143,90.59884936,,,,,,,0.359,10.984,12.255,104.064,34.075
07/18/2023 15:38:00,2.59,0.7044116,0.4231275,11.4,11.4,49.8670174,,,,,,,0.386,11.263,12.525,108.145,35.977
07/18/2023 15:39:00,2.557142857,0.702288,0.201489286,11.57142857,11.85714286,56.273325,,,,,,,0.378,11.705,12.55,107.341,34.942
07/18/2023 15:40:00,2.9,0.70604275,0.23507075,12.75,13,57.8863415,,,,,,,0.36,11.394,12.638,110.737,38.495
07/18/2023 15:41:00,3.081818182,0.702335,3.162771727,11.81818182,11.81818182,60.42075936,,,,,,,0.347,11.072,12.799,116.131,28.629
07/18/2023 15:42:00,3.914285714,0.694001286,5.507374571,12.85714286,13.85714286,63.81324071,,,,,,,0.351,11.133,12.995,115.554,26.087
07/18/2023 15:43:00,4.4,0.699698,7.522268,11,11,65.395174,,,,,,,0.355,11.374,13.189,118.678,27.229
07/18/2023 15:44:00,6.188888889,0.688419333,7.417792,11.77777778,12.22222222,68.62416356,,,,,,,0.364,11.066,13.376,115.964,27.647
07/18/2023 15:45:00,5.91,0.6888222,10.4371464,13,14.3,70.5894963,,,,,,,0.371,10.708,13.61,116.183,27.673
07/18/2023 15:46:00,6.611111111,0.690836333,7.417791778,12.55555556,12.55555556,72.91128611,,,,,,,0.378,10.918,13.9,114.595,28.957
07/18/2023 15:47:00,3.981818182,0.685526364,10.98422036,12.18181818,12.18181818,74.00190318,,,,,,,0.374,10.711,14.201,117.185,23.596
07/18/2023 15:48:00,6.95,0.6808463,10.2020754,12.8,13.4,73.9963117,,,,,,,0.378,10.718,14.491,114.706,24.697
07/18/2023 15:49:00,6.989473684,0.685387526,10.81325979,12.52631579,12.57894737,75.49331458,,,,,,,0.38,10.229,14.798,117.725,22.597
07/18/2023 15:50:00,7.292857143,0.688822357,11.71996164,12.14285714,12.92857143,77.61674821,,,,,,,0.382,10.796,15.116,115.919,24.163
07/18/2023 15:51:00,7.54,0.6841091,12.0826422,11.9,12,76.8570162,,,,,,,0.369,10.908,15.461,113.851,26.795
07/18/2023 15:52:00,7.9375,0.682931125,9.46160225,11.5,12.125,76.7804355,,,,,,,0.369,11.003,15.731,112.437,22.706
07/18/2023 15:53:00,8.133333333,0.675529333,11.596829,10.33333333,10.33333333,80.28568367,,,,,,,0.356,10.842,15.913,113.11,27.671
07/18/2023 15:55:00,6.6,0.692448,13.63411,14,15,79.556335,,,,,,,0.351,10.844,16.102,109.65,29.753
07/18/2023 15:56:00,7.4,0.6888225,15.5146775,12,12.5,81.7630705,,,,,,,0.364,10.704,16.217,110.754,24.522
07/18/2023 15:58:00,6.7,0.688822,16.925102,12,12,78.227249,,,,,,,0.365,11.025,16.494,110.746,25.01
07/18/2023 15:59:00,5.96,0.6808464,17.0191304,10.2,10.2,77.7408428,,,,,,,0.362,10.225,16.627,108.403,24.642
07/18/2023 16:00:00,8.445454545,0.686844636,15.98481873,11.45454545,12.36363636,78.87027545,,,,,,,0.36,10.42,16.76,109.403,23.424
07/18/2023 16:01:00,10.85714286,0.656064321,34.23639196,11.78571429,12.14285714,103.0034761,,,,,,,0.349,10.849,16.944,110.227,26.486
07/18/2023 16:02:00,13.67333333,0.6490639,46.43433093,14.06666667,14.26666667,121.046889,,,,,,,0.345,11.118,17.079,107.764,28.887
07/18/2023 16:03:00,12.47,0.657885633,46.7007443,13.46666667,14.26666667,116.1046033,,,,,,,0.355,11.159,17.204,106.902,29.105
07/18/2023 16:04:00,18.18333333,0.6627195,47.2022283,14.2,15.8,115.3306335,,,,,,,0.352,11.325,17.272,109.47,29.731
07/18/2023 16:05:00,22.02666667,0.664653167,45.99553287,12.56666667,13.6,118.4883339,,,,,,,0.356,11.388,17.362,102.35,27.016
07/18/2023 16:06:00,24.48666667,0.676616733,40.8866593,14.66666667,15.4,125.0686365,,,,,,,0.355,11.92,17.425,107.429,28.437
